,Tweets
76,"Tokopedia NOW! emang paling tau apa yang dibutuhin ibu-ibu.

#tokopedianow #belanjatros #jualandikit"
77,#GaleriFashionPria lagi ada promo Flash Sale mulai Rp 1rb dan Cashback hingga Rp 300rb. Minto mau serbu aahh! Yok k… https://t.co/smd7fXeOBX
78,"Olahraga aku setiap hari:

#Tokopedia #BTSTokopedia #YangLagiViral"
79,"#KEJARDISKON SERBA 10 RIBU‼️

Klik gambar di bawah untuk set alarm biar gak kelewatan. Karena cuma ada di jam 20:00… https://t.co/WRpcSLnlS3"
80,"WIB, WIB coba cek Tokopedia 🎵

Banyak banget promo serba murah di #PromoWIB mulai dari minyak goreng sampai tas ran… https://t.co/gMN6X8upft"
81,@its_seinna Let’s goooooo👀💜💜💜
82,"JWANNNN HYUNGGGG💜
CAN’T WAIT FOR TOMORROOOOOW😣😣💜💜💜

#TokopediaChingu #ChinguTrend"
83,Anak kos sini mampir ke #Mabar karena Minto mau kasih tau resep mewah buat kamu cuma modal Rp10rb aja. Lengkapnya t… https://t.co/KuVB2iFQ30
84,"RT @TokopediaCare: Ketika berbelanja di Tokopedia, tersedia pilihan untuk memakai asuransi pengiriman yang bisa kamu pakai ketika berbelanj…"
85,"🍜ALTERNATIF MENIKMATI INDOMIE ALA MINTO🍜
1. dikremes langsung dan campurin bumbunya kayak jaman SD
2. dimasak steng… https://t.co/toPm5Ji4Aw"
86,"Warga Jogja mana suaranyaa?

Minto mau kasih promo gratis ongkir Gosend + diskon s.d 5 ribu nih buat kamu🤩 No more… https://t.co/GGsEcCyhad"
87,"Biar makin tampan abis gajian, dapetin Jaket Denim Levi's dari #ZonaGiveaway GRATIS! Caranya gampang! Main tebak-te… https://t.co/qlbbcNfuLq"
88,"Hihi gemes banget kaan baju-bajunya😝 Oh senangnyaa, Mia senang sekaliii pakai merchandise Crayon Shinchan x Tahilal… https://t.co/2EqXLTV4XE"
89,Yuk daftar Technology Workshop “ Build Scalable and Fast APIs with gRPC” pada 20 November 2022 dan belajar langsung… https://t.co/0NqLXfM0iM
